wavelength_um,snr
1.209651005413766356e+00,1.189487570948298867e+01
1.209667440061871435e+00,1.190259953280166272e+01
1.209683874709976736e+00,1.191032420378556012e+01
1.209700309358081816e+00,1.191758160740387495e+01
1.209716744006187117e+00,1.192461271411982615e+01
1.209733178654292196e+00,1.193175920065257500e+01
1.209749613302397275e+00,1.193931414196004503e+01
1.209766047950502577e+00,1.194686970883897459e+01
1.209782482598607878e+00,1.195433039319104296e+01
1.209798917246712957e+00,1.196176252012724639e+01
1.209815351894818258e+00,1.196880238541935704e+01
1.209831786542923338e+00,1.197498035232474223e+01
1.209848221191028417e+00,1.198115715785298363e+01
1.209864655839133718e+00,1.198345401866218651e+01
1.209881090487238797e+00,1.198510952640941873e+01
1.209897525135344099e+00,1.199144153162206372e+01
1.209913959783449178e+00,1.200464367812918454e+01
1.209930394431554479e+00,1.201785350012333353e+01
1.209946829079659558e+00,1.202607839283786539e+01
1.209963263727764859e+00,1.203405061722620317e+01
1.209979698375869939e+00,1.204266739741110825e+01
1.209996133023975240e+00,1.205193640470722549e+01
1.210012567672080319e+00,1.206113939948951419e+01
1.210029002320185398e+00,1.206882855901032059e+01
1.210045436968290700e+00,1.207651849960699941e+01
1.210061871616395779e+00,1.208392358873379635e+01
1.210078306264501080e+00,1.209112983486839887e+01
1.210094740912606159e+00,1.209839707682622567e+01
1.210111175560711461e+00,1.210605475425990640e+01
1.210127610208816540e+00,1.211371316822080324e+01
1.210144044856921841e+00,1.211906548851775511e+01
1.210160479505026920e+00,1.212333241762719993e+01
1.210176914153132000e+00,1.212790034303209730e+01
1.210193348801237301e+00,1.213350797491377975e+01
1.210209783449342380e+00,1.213911371478788404e+01
1.210226218097447681e+00,1.214936560866265225e+01
1.210242652745552983e+00,1.216099764305308639e+01
1.210259087393658062e+00,1.217047211026395281e+01
1.210275522041763141e+00,1.217528782935051979e+01
1.210291956689868442e+00,1.218010062775401536e+01
1.210308391337973521e+00,1.219027222489921236e+01
1.210324825986078823e+00,1.220130365269393025e+01
1.210341260634183902e+00,1.221077426000316812e+01
1.210357695282288981e+00,1.221797129141450888e+01
1.210374129930394282e+00,1.222516846268008273e+01
1.210390564578499584e+00,1.223020251524311064e+01
1.210406999226604663e+00,1.223512664998173882e+01
1.210423433874709964e+00,1.224143519001781932e+01
1.210439868522815043e+00,1.224914282089892481e+01
1.210456303170920123e+00,1.225688875733192518e+01
1.210472737819025424e+00,1.226547418570211967e+01
1.210489172467130503e+00,1.227406149841404215e+01
1.210505607115235804e+00,1.228218854289954187e+01
